Age,Gender,Occupation,Monthly_Income,Shopping_Frequency,PB_Score,DP_Score,CS_Score,CR_Score,Retention_Class
36–45,Female,Private Employee,"₹50,001–₹75,000",Monthly,3.1666666666666665,3.8,4.0,4.285714285714286,High
36–45,Male,Other,"₹30,001–₹50,000",Rarely,3.3333333333333335,4.0,4.285714285714286,4.142857142857143,High
18–25,Female,Student,"₹15,001–₹30,000",Occasionally,4.166666666666667,4.0,4.142857142857143,4.285714285714286,High
18–25,Female,Student,"Below ₹15,000",Occasionally,3.5,3.4,3.7142857142857144,3.4285714285714284,High
18–25,Male,Student,"Below ₹15,000",Occasionally,3.8333333333333335,4.0,3.857142857142857,3.857142857142857,High
18–25,Female,Student,"Below ₹15,000",Twice a Month,2.6666666666666665,2.8,2.2857142857142856,2.5714285714285716,Low
18–25,Male,Student,"₹30,001–₹50,000",Monthly,3.5,3.2,3.0,3.5714285714285716,High
18–25,Male,Student,"₹30,001–₹50,000",Weekly,2.5,2.0,2.2857142857142856,2.0,Low
18–25,Female,Private Employee,"₹15,001–₹30,000",Weekly,3.1666666666666665,2.6,3.5714285714285716,2.0,Low
Below 18,Male,Student,"Below ₹15,000",Rarely,2.8333333333333335,3.0,3.857142857142857,3.0,Low
18–25,Male,Student,"Below ₹15,000",Rarely,3.1666666666666665,3.6,3.2857142857142856,3.4285714285714284,High
18–25,Female,Student,"Below ₹15,000",Occasionally,4.0,4.0,4.0,3.5714285714285716,High
18–25,Male,Student,"₹15,001–₹30,000",Monthly,3.0,3.8,4.0,3.7142857142857144,High
26–35,Female,Student,"₹30,001–₹50,000",Occasionally,2.6666666666666665,2.4,2.0,2.2857142857142856,Low
Above 45,Female,Homemaker,"₹15,001–₹30,000",Twice a Month,3.8333333333333335,3.8,3.0,3.7142857142857144,High
18–25,Female,Student,"₹15,001–₹30,000",Weekly,3.8333333333333335,3.8,4.142857142857143,3.857142857142857,High
18–25,Male,Business/Self-employed,"Below ₹15,000",Weekly,2.6666666666666665,3.0,2.857142857142857,3.4285714285714284,High
18–25,Male,Student,"₹30,001–₹50,000",Occasionally,3.5,4.0,4.142857142857143,4.0,High
18–25,Female,Student,"₹15,001–₹30,000",Monthly,3.0,2.6,3.2857142857142856,3.2857142857142856,Low
18–25,Female,Private Employee,"₹15,001–₹30,000",Twice a Month,2.6666666666666665,3.0,2.857142857142857,2.5714285714285716,Low
Below 18,Male,Business/Self-employed,"₹15,001–₹30,000",Weekly,4.5,4.6,4.142857142857143,4.142857142857143,High
18–25,Male,Student,"₹15,001–₹30,000",Twice a Month,3.5,2.6,3.4285714285714284,2.4285714285714284,Low
18–25,Male,Private Employee,"₹15,001–₹30,000",Twice a Month,3.1666666666666665,3.0,2.7142857142857144,2.857142857142857,Low
18–25,Male,Student,"Below ₹15,000",Monthly,3.3333333333333335,2.2,3.0,3.4285714285714284,High
26–35,Male,Private Employee,"₹15,001–₹30,000",Twice a Month,3.3333333333333335,4.0,4.571428571428571,4.142857142857143,High
18–25,Male,Private Employee,"₹15,001–₹30,000",Monthly,3.1666666666666665,3.0,4.142857142857143,4.142857142857143,High
18–25,Female,Student,"Below ₹15,000",Twice a Month,4.666666666666667,4.6,4.571428571428571,4.0,High
18–25,Male,Student,"₹30,001–₹50,000",Occasionally,4.5,4.6,4.571428571428571,4.571428571428571,High
18–25,Female,Student,"Below ₹15,000",Monthly,3.1666666666666665,3.6,3.7142857142857144,4.285714285714286,High
18–25,Male,Student,"₹15,001–₹30,000",Occasionally,4.833333333333333,3.0,3.0,3.0,Low
26–35,Female,Student,"₹15,001–₹30,000",Occasionally,3.8333333333333335,4.2,3.4285714285714284,3.7142857142857144,High
18–25,Male,Private Employee,"₹15,001–₹30,000",Monthly,3.0,1.0,3.0,2.2857142857142856,Low
18–25,Female,Student,"Below ₹15,000",Monthly,3.3333333333333335,3.6,3.2857142857142856,3.7142857142857144,High
18–25,Male,Private Employee,"₹30,001–₹50,000",Weekly,2.5,1.8,2.4285714285714284,1.7142857142857142,Low
18–25,Male,Private Employee,"₹15,001–₹30,000",Occasionally,4.333333333333333,4.8,4.285714285714286,4.428571428571429,High
18–25,Male,Government Employee,"₹15,001–₹30,000",Weekly,1.5,1.6,1.8571428571428572,1.5714285714285714,Low
18–25,Male,Business/Self-employed,"₹50,001–₹75,000",Occasionally,2.0,2.0,1.8571428571428572,2.142857142857143,Low
18–25,Male,Private Employee,"₹30,001–₹50,000",Occasionally,4.0,4.0,4.0,4.0,High
Above 45,Female,Business/Self-employed,"₹15,001–₹30,000",Occasionally,3.6666666666666665,4.0,4.428571428571429,4.0,High
18–25,Male,Student,"Below ₹15,000",Occasionally,2.6666666666666665,4.0,1.5714285714285714,1.5714285714285714,Low
18–25,Male,Student,"₹15,001–₹30,000",Twice a Month,4.5,4.4,4.428571428571429,4.428571428571429,High
Below 18,Male,Government Employee,"₹30,001–₹50,000",Monthly,3.8333333333333335,1.8,2.2857142857142856,2.2857142857142856,Low
18–25,Male,Student,"₹15,001–₹30,000",Twice a Month,2.0,2.0,1.8571428571428572,1.7142857142857142,Low
18–25,Male,Student,"Below ₹15,000",Occasionally,3.3333333333333335,3.2,3.2857142857142856,3.4285714285714284,High
18–25,Female,Student,"₹15,001–₹30,000",Monthly,2.0,1.0,1.1428571428571428,1.5714285714285714,Low
26–35,Male,Government Employee,"₹15,001–₹30,000",Monthly,4.166666666666667,4.2,4.142857142857143,4.285714285714286,High
18–25,Male,Student,"Below ₹15,000",Weekly,1.5,1.6,1.5714285714285714,1.8571428571428572,Low
18–25,Male,Student,"Below ₹15,000",Weekly,1.8333333333333333,1.4,1.7142857142857142,1.7142857142857142,Low
18–25,Female,Student,"Below ₹15,000",Rarely,3.1666666666666665,3.2,3.2857142857142856,3.4285714285714284,High
26–35,Female,Private Employee,"₹30,001–₹50,000",Monthly,4.333333333333333,4.4,3.857142857142857,3.857142857142857,High
Above 45,Male,Government Employee,"Above ₹75,000",Occasionally,4.166666666666667,4.4,4.142857142857143,4.142857142857143,High
26–35,Female,Homemaker,"Below ₹15,000",Occasionally,3.6666666666666665,3.4,3.857142857142857,3.142857142857143,Low
26–35,Male,Private Employee,"₹30,001–₹50,000",Occasionally,3.0,3.0,3.0,3.0,Low
26–35,Female,Private Employee,"₹30,001–₹50,000",Occasionally,4.333333333333333,5.0,5.0,4.285714285714286,High
18–25,Male,Student,"₹15,001–₹30,000",Monthly,3.8333333333333335,4.0,3.857142857142857,3.7142857142857144,High
18–25,Male,Student,"₹15,001–₹30,000",Monthly,1.8333333333333333,1.4,1.4285714285714286,1.0,Low
Below 18,Male,Student,"Below ₹15,000",Weekly,3.5,3.2,2.857142857142857,2.0,Low
Below 18,Male,Student,"Below ₹15,000",Monthly,2.5,2.6,2.857142857142857,2.5714285714285716,Low
18–25,Male,Student,"Below ₹15,000",Twice a Month,2.3333333333333335,1.6,1.4285714285714286,1.5714285714285714,Low
26–35,Male,Private Employee,"₹50,001–₹75,000",Rarely,4.0,3.0,4.0,4.0,High
36–45,Female,Private Employee,"₹30,001–₹50,000",Monthly,2.8333333333333335,3.0,3.4285714285714284,2.4285714285714284,Low
18–25,Female,Student,"Below ₹15,000",Weekly,1.5,3.0,2.4285714285714284,2.142857142857143,Low
18–25,Male,Student,"Below ₹15,000",Rarely,4.0,4.0,4.0,3.4285714285714284,High
26–35,Male,Private Employee,"₹30,001–₹50,000",Twice a Month,3.5,4.0,4.0,3.5714285714285716,High
36–45,Male,Government Employee,"₹50,001–₹75,000",Rarely,4.5,4.4,4.0,4.285714285714286,High
26–35,Female,Homemaker,"₹15,001–₹30,000",Monthly,4.5,4.4,4.428571428571429,4.142857142857143,High
Below 18,Male,Student,"Below ₹15,000",Rarely,4.5,5.0,5.0,5.0,High
36–45,Female,Government Employee,"₹30,001–₹50,000",Monthly,4.5,4.4,4.571428571428571,4.428571428571429,High
18–25,Female,Private Employee,"₹15,001–₹30,000",Twice a Month,4.5,4.2,1.8571428571428572,1.7142857142857142,Low
Above 45,Male,Private Employee,"₹50,001–₹75,000",Monthly,4.0,3.6,3.2857142857142856,4.285714285714286,High
18–25,Female,Private Employee,"₹15,001–₹30,000",Occasionally,3.5,3.6,1.8571428571428572,1.4285714285714286,Low
26–35,Female,Private Employee,"₹15,001–₹30,000",Rarely,4.333333333333333,4.2,3.857142857142857,4.0,High
36–45,Female,Business/Self-employed,"₹30,001–₹50,000",Twice a Month,3.6666666666666665,4.2,4.142857142857143,4.0,High
18–25,Female,Student,"Below ₹15,000",Monthly,3.8333333333333335,3.8,2.5714285714285716,1.7142857142857142,Low
36–45,Prefer not to say,Business/Self-employed,"₹15,001–₹30,000",Twice a Month,3.6666666666666665,2.4,1.5714285714285714,3.2857142857142856,Low
26–35,Male,Homemaker,"Below ₹15,000",Occasionally,4.0,4.4,4.0,3.4285714285714284,High
26–35,Male,Business/Self-employed,"₹30,001–₹50,000",Rarely,2.6666666666666665,2.6,2.5714285714285716,2.2857142857142856,Low
26–35,Female,Government Employee,"Above ₹75,000",Rarely,2.6666666666666665,2.6,2.5714285714285716,2.5714285714285716,Low
26–35,Female,Private Employee,"₹30,001–₹50,000",Rarely,2.8333333333333335,3.0,1.8571428571428572,2.2857142857142856,Low
Below 18,Female,Student,"Below ₹15,000",Occasionally,4.333333333333333,3.8,3.857142857142857,3.857142857142857,High
18–25,Female,Student,"Below ₹15,000",Monthly,4.333333333333333,4.2,4.142857142857143,4.0,High
